Mesh Names,Tip_Label,Taxon,Superorder,Order,Family,Collection,Specimen_ID,Scan Location,Status,Geologic Age (First Appearance),Locomotion,Diet,Habitat,Social,Activity,Development
Caperea Marginata,Caperea_marginata,Caperea marginata,Laurasiatheria,Cetacea,Cetotheriidae,NHMUK ZD,1876.2.16.1,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Social,All,Precocial
Capra Ibex,Capra_ibex,Capra ibex,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1935.12.12.3,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Social,Diurnal,Precocial
Capricornis Sumatraensis,Capricornis_sumatraensis,Naemorhedus sumatraensis,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1924.5.29.1,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Solitary,Diurnal,Precocial
Cardioderma Cor,Cardioderma_cor,Cardioderma cor,Laurasiatheria,Chiroptera,Megadermatidae,AMNH,M-219723,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Carterodon Sulcidens,Carterodon_sulcidens,Carterodon sulcidens,Euarchontaglires,Rodentia,Echimyidae,NHMUK PV M,17617,Phenome10K,Extant,Recent,Semi-fossorial,Herbivore,Open,Solitary,Nocturnal,Altricial
Castor Canadensis,Castor_canadensis,Castor canadensis,Euarchontaglires,Rodentia,Castoridae,UMN,12157,Phenome10K,Extant,Recent,Aquatic,Herbivore,Closed,Social,Nocturnal,Precocial
Castoroides Ohioensis,Castoroides_ohioensis,Paracastoroides kansensis,Euarchontaglires,Rodentia,Castoridae,MNHN.F,1953-17,Phenome10K,Extinct,Pleistocene,Semi-aquatic,Herbivore,,,,
Cavia Aperea,Cavia_aperea,Cavia aperea,Euarchontaglires,Rodentia,Caviidae,NHMUK ZD,1901.11.3.78,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial
Cebupithecus Sarmientoi,Cebupithecia_sarmientai,Cebupithecus sarmientoi,Euarchontaglires,Primates,Cebidae,AMNH,FM 45974,Morphosource,Extinct,Miocene,Arboreal,Omnivore,,,,
Cebus Apella,Sapajus_apella,Sapajus apella,Euarchontaglires,Primates,Cebidae,NHMUK ZD,1925.2.1.1,Phenome10K,Extant,Recent,Arboreal,Omnivore,Closed,Social,Diurnal,Altricial
Centurio Senex,Centurio_senex,Centurio senex,Laurasiatheria,Chiroptera,Phyllostomidae,AMNH,M-249109,Morphosource,Extant,Recent,Volant,Herbivore,Closed,Social,Nocturnal,Altricial
Cephalophus Nigrifrons,Cephalophus_nigrifrons,Cephalophus nigrifrons,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1934.4.1.205,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Solitary,All,Precocial
