Mesh Names,Tip_Label,Taxon,Superorder,Order,Family,Collection,Specimen_ID,Scan Location,Status,Geologic Age (First Appearance),Locomotion,Diet,Habitat,Social,Activity,Development
Ictops Dakotensis,Ictops_dakotensis,Ictops dakotensis,Stem,Leptictida,Leptictidae,FMNH,UC620,Morphosource,Extinct,Eocene,Terrestrial,Invertivore,,,,
Indri Indri,Indri_indri,Indri indri,Euarchontaglires,Primates,Indriidae,NHMUK ZD,1935.1.8.2,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial
Inia Geoffrensis,Inia_geoffrensis,Inia geoffrensis,Laurasiatheria,Cetacea,Iniidae,AMNH,93415,Morphosource,Extant,Recent,Aquatic,Piscivore,Aquatic,Solitary,All,Precocial
Kannabateomys Amblyonyx,Kannabateomys_amblyonyx,Kannabateomys amblyonyx,Euarchontaglires,Rodentia,Echimyidae,NHMUK ZD,1929.6.6.64,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Nocturnal,Precocial
Kerivoula Minuta,Kerivoula_minuta,Kerivoula minuta,Laurasiatheria,Chiroptera,Vespertilionidae,AMNH,M-267626,Morphosource,Extant,Recent,Volant,Invertivore,Closed,unknown,Nocturnal,Altricial
Kerodon Rupestris,Kerodon_rupestris,Kerodon rupestris,Euarchontaglires,Rodentia,Caviidae,NHMUK ZD,1903.9.5.108,Phenome10K,Extant,Recent,Saxicolous,Herbivore,Open,Social,Crepuscular,Precocial
Kobus Ellipsiprymnus,Kobus_ellipsiprymnus,Kobus ellipsiprymnus,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1966.817,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial
Kogia Breviceps,Kogia_breviceps,Kogia breviceps,Laurasiatheria,Cetacea,Kogiidae,USNM,22015,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Social,All,Precocial
Lagenorhynchus Albirostris,Lagenorhynchus_albirostris,Lagenorhynchus albirostris,Laurasiatheria,Cetacea,Delphinidae,AMNH,37162,Morphosource,Extant,Recent,Aquatic,Piscivore,Aquatic,Social,All,Precocial
Lasionycteris Noctivagans,Lasionycteris_noctivagans,Lasionycteris noctivagans,Laurasiatheria,Chiroptera,Vespertilionidae,AMNH,M-213141,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Solitary,Nocturnal,Altricial
Leontopithecus Rosalia,Leontopithecus_rosalia,Leontopithecus rosalia,Euarchontaglires,Primates,Cebidae,NHMUK ZD,1939.612,Phenome10K,Extant,Recent,Arboreal,Omnivore,Closed,Social,Diurnal,Altricial
Lepilemur Microdon,Lepilemur_microdon,Lepilemur microdon,Euarchontaglires,Primates,Lepilemuridae,NHMUK ZD,1897.9.1.16,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Nocturnal,Altricial
Leptictis Sp,Leptictis_sp,Leptictis sp,Stem,Leptictida,Leptictidae,AMNH,FM 38920,Morphosource,Extinct,Eocene,Terrestrial,Invertivore,,,,
Lepus Californicus,Lepus_californicus,Lepus californicus,Euarchontaglires,Lagomorpha,Leporidae,TMM,M-7500,Digimorph,Extant,Recent,Terrestrial,Herbivore,Open,Solitary,Nocturnal,Precocial
Lontra Felina,Lontra_felina,Lontra felina,Laurasiatheria,Carnivora,Mustelidae,MNHN-ZO-AC,1932-3019,Phenome10K,Extant,Recent,Aquatic,Carnivore,Aquatic,Solitary,Diurnal,Altricial
Loris Tardigradus,Loris_tardigradus,Loris tardigradus,Euarchontaglires,Primates,Loridae,MNHN-ZO-AC,1958-717,,Extant,Recent,Arboreal,Invertivore,Closed,Social,Nocturnal,Altricial
Macrauchenia Sp,Macrauchenia_sp,Macrauchenia sp,Laurasiatheria,Litopterna,Macraucheniidae,NHMUK PV,cast,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,
Macroeuphractus Sp,Macroeuphractus_sp,Macroeuphractus sp,Xenarthra,Cingulata,Dasypodidae,NHMUK PV M,5444,Phenome10K,Extinct,Miocene,Terrestrial,Carnivore,Open,,,
Macroscelides Proboscideus,Macroscelides_proboscideus,Macroscelides proboscideus,Afrotheria,Macroscelidea,Macroscelididae,AMNH,M-161535,Digimorph,Extant,Recent,Semi-fossorial,Invertivore,Desert,Solitary,Diurnal,Precocial
Manis Javanicum,Manis_javanica,Manis javanica,Laurasiatheria,Pholidota,Manidae,LDUCZ,z.42,Phenome10K,Extant,Recent,Arboreal,Social insectivore,Mixed terrestrial,Solitary,Nocturnal,Precocial
Massoutiera Rothschildi,Massoutiera_mzabi,Massoutiera mzabi,Euarchontaglires,Rodentia,Ctenodactylidae,NHMUK ZD,1934.8.2.84,Phenome10K,Extant,Recent,Saxicolous,Herbivore,Desert,Social,Diurnal,Precocial
Megaladapis Edwardsi,Megaladapis_edwardsi,Megaladapis edwardsi,Euarchontaglires,Primates,Megaladapidae,MNHN.F,MAD8772a,Phenome10K,Extinct,Holocene,Arboreal,Herbivore,,,,
Megaptera Novaeangliae,Megaptera_novaeangliae,Megaptera novaeangliae,Laurasiatheria,Cetacea,Balaenopteridae,NHMUK GERM,792a,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Social,All,Precocial
Megatherium Americanum,Megatherium_americanum,Megatherium americanum,Xenarthra,Pilosa,Megatheriidae,NHMUK PV OR,19953,Phenome10K,Extinct,Pleistocene,Terrestrial,Herbivore,,,,
Mephitis Mephitis,Mephitis_mephitis,Mephitis mephitis,Laurasiatheria,Carnivora,Mustelidae,USNM,260921,Phenome10K,Extant,Recent,Terrestrial,Omnivore,Open,Solitary,Nocturnal,Altricial
Merycochoerus Proprius,Merycochoerus_proprius,Merycochoerus proprius,Laurasiatheria,Artiodactyla,Merycoidodontidae,YPM,VP.65848,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,
Mesocyon Coryphaeus,Mesocyon_coryphaeus,Mesocyon coryphaeus,Laurasiatheria,Carnivora,Canidae,AMNH,FM 6859,Morphosource,Extinct,Oligocene,Terrestrial,Carnivore,,,,
Mesohippus Meteulophus,Mesohippus_meteulophus,Mesohippus meteulophus,Laurasiatheria,Perissodactyla,Equidae,AMNH,FM 1210,Morphosource,Extinct,Oligocene,Terrestrial,Herbivore,,,,
Mesoplodon Europaeus,Mesoplodon_europaeus,Mesoplodon europaeus,Laurasiatheria,Cetacea,Ziphiidae,USNM,504256,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Social,All,Precocial
Metarhinus Fluviatilis,Metarhinus_fluviatilis,Metarhinus fluviatilis,Laurasiatheria,Perissodactyla,Brontotheriidae,FMNH,P12187,Morphosource,Extinct,Eocene,Terrestrial,Herbivore,,,,
Micropteropus Pusillus,Micropteropus_pusillus,Epomophorus pusillus,Laurasiatheria,Chiroptera,Pteropodidae,AMNH,M-257028,Morphosource,Extant,Recent,Volant,Herbivore,Open,Social,Nocturnal,Altricial
Miniochoerus Gracilis,Miniochoerus_gracilis,Miniochoerus gracilis,Laurasiatheria,Artiodactyla,Merycoidodontidae,USNM,628720,Phenome10K,Extinct,Oligocene,Terrestrial,Herbivore,,,,
Miniopterus Australis,Miniopterus_australis,Miniopterus australis,Laurasiatheria,Chiroptera,Miniopteridae,AMNH,M-160287,Morphosource,Extinct,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Miolabis Fricki,Miolabis_fricki,Miolabis fricki,Laurasiatheria,Artiodactyla,Camelidae,LACM,131796,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,
Moeritherium Andrewsi,Moeritherium_andrewsi,Moeritherium andrewsi,Afrotheria,Proboscidea,Moeritheriidae,AMNH,FM 9983,Morphosource,Extinct,Eocene,Terrestrial,Herbivore,,,,
Molossus Rufus,Molossus_rufus,Molossus rufus,Laurasiatheria,Chiroptera,Molossidae,AMNH,M-274122,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Monachus Tropicalis,Monachus_monachus,Monachus monachus,Laurasiatheria,Carnivora,Phocidae,USNM,100358,Digimorph,Extant,Recent,Aquatic,Piscivore,Aquatic,Solitary,Crepuscular,Altricial
Mops Thersites,Mops_thersites,Mops thersites,Laurasiatheria,Chiroptera,Molossidae,AMNH,M-236347,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Moropus Elatus,Moropus_elatus,Moropus elatus,Laurasiatheria,Perissodactyla,Chalicotheriidae,AMNH,FM 14379,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,
Moschus Moschiferus,Moschus_moschiferus,Moschus moschiferus,Laurasiatheria,Artiodactyla,Moschidae,NHMUK ZD,1926.4.2.1,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Solitary,Nocturnal,Precocial
Muntiacus Muntjack,Muntiacus_muntjak,Muntiacus muntjak,Laurasiatheria,Artiodactyla,Cervidae,NHMUK ZD,1915.3.2.1,Phenome10K,Extant,Recent,Terrestrial,Omnivore,Mixed terrestrial,Solitary,All,Precocial
Myocastor Coypu,Myocastor_coypus,Myocastor coypus,Euarchontaglires,Rodentia,Myocastoridae,UMN,2805,Phenome10K,Extant,Recent,Semi-aquatic,Herbivore,Mixed terrestrial,Social,Nocturnal,Precocial
Myodes Gapperi,Myodes_gapperi,Clethrionomys gapperi,Euarchontaglires,Rodentia,Cricetidae,UMN,5740,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Solitary,Nocturnal,Altricial
Myospalax Psilurus,Myospalax_psilurus,Myospalax psilurus,Euarchontaglires,Rodentia,Spalacidae,NHMUK ZD,1926.2.3.14,Phenome10K,Extant,Recent,Fossorial,Herbivore,Open,Solitary,Nocturnal,
Myotis Vivesi,Myotis_vivesi,Myotis vivesi,Laurasiatheria,Chiroptera,Vespertilionidae,AMNH,M-180834,Morphosource,Extant,Recent,Volant,Piscivore,Open,Social,Nocturnal,Altricial
Mystacina Tuberculata,Mystacina_tuberculata,Mystacina tuberculata,Laurasiatheria,Chiroptera,Mystacinidae,AMNH,M-173919,Morphosource,Extant,Recent,Volant,Omnivore,Closed,Social,Nocturnal,Altricial
Myzopoda Aurita,Myzopoda_aurita,Myzopoda aurita,Laurasiatheria,Chiroptera,Myzopodidae,AMNH,M-257130,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Nandinia Binotata,Nandinia_binotata,Nandinia binotata,Laurasiatheria,Carnivora,Nandiniidae,MNHN-ZO-AC,1966-213,Phenome10K,Extant,Recent,Arboreal,Omnivore,Closed,Solitary,Nocturnal,Altricial
Natalus Majorply,Natalus_major,Natalus major,Laurasiatheria,Chiroptera,Natalidae,AMNH,M-278371,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Neofelis Nebulosa,Neofelis_nebulosa,Neofelis nebulosa,Laurasiatheria,Carnivora,Felidae,NHMUK ZD,1939.336,Phenome10K,Extant,Recent,Arboreal,Carnivore,Closed,Solitary,Nocturnal,Altricial
Neohipparion Affine,Neohipparion_affine,Neohipparion affine,Laurasiatheria,Perissodactyla,Equidae,UNSM,101500,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,
Neoparadoxia Cecilialina,Neoparadoxia_cecilialina,Neoparadoxia cecilialina,Afrotheria,Desmostylia,Paleoparadoxiidae,LACM,150000,Phenome10K,Extinct,Miocene,Semi-aquatic,Herbivore,,,,
Neoreomys Australis,Neoreomys_australis,Neoreomys australis,Euarchontaglires,Rodentia,Dasyproctidae,YPM,VPPU.015572,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,
Neoromica Nanu,Neoromicia_nana,Neoromica nanus,Laurasiatheria,Chiroptera,Vespertilionidae,AMNH,M-276136,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Neotherium Mirum,Neotherium_mirum,Neotherium mirum,Laurasiatheria,Carnivora,Odobenidae,LACM,131950,Phenome10K,Extinct,Miocene,Aquatic,Carnivore,,,,
Neotoma Albigula,Neotoma_albigula,Neotoma albigula,Euarchontaglires,Rodentia,Cricetidae,UMN,3965,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Desert,Solitary,Nocturnal,Altricial
Nesomys Rufus,Nesomys_rufus,Nesomys rufus,Euarchontaglires,Rodentia,Nesomyidae,NHMUK ZD,1935.1.8.335,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Solitary,Diurnal,Altricial
Noctilio Albiventris,Noctilio_albiventris,Noctilio albiventris,Laurasiatheria,Chiroptera,Noctilionidae,AMNH,M-243717,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Nothrotheriops Sp,Nothrotheriops_sp,Nothrotheriops sp,Xenarthra,Pilosa,Nothrotheriidae,MNHN.F,cast,Phenome10K,Extinct,Pliocene,Terrestrial,Herbivore,,,,
Notostylops Pendens,Notostylops_pendens,Notostylops pendens,Laurasiatheria,Notoungulata,Notostylopidae,AMNH,FM 28634,Morphosource,Extinct,Eocene,Terrestrial,Herbivore,,,,
Nycteris Tragata,Nycteris_tragata,Nycteris tragata,Laurasiatheria,Chiroptera,Nycteridae,AMNH,M-247250,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Ochotona Pallasi,Ochotona_pallasi,Ochotona pallasi,Euarchontaglires,Lagomorpha,Ochotonidae,NHMUK ZD,1994.230.,Phenome10K,Extant,Recent,Semi-fossorial,Herbivore,Open,Solitary,Diurnal,Altricial
Odobenocetops Sp,Odobenocetops_peruvianus,Odobenocetops peruvianus,Laurasiatheria,Cetacea,Odobenocetopsidae,SMNK PAL,2491,Phenome10K,Extinct,Miocene,Aquatic,Carnivore,,,,
Odobenus Rosmarus,Odobenus_rosmarus,Odobenus rosmarus,Laurasiatheria,Carnivora,Odobenidae,MVZ,125566,Digimorph,Extant,Recent,Aquatic,Invertivore,Aquatic,Social,Diurnal,Altricial
Onychmys Leucogaster,Onychomys_leucogaster,Onychomys leucogaster,Euarchontaglires,Rodentia,Cricetidae,UMN,3985,Phenome10K,Extant,Recent,Semi-fossorial,Invertivore,Open,Solitary,Nocturnal,Altricial
Oodectes Sp,Oodectes_sp,Oodectes sp,Laurasiatheria,Carnivora,Miacidae,AMNH,FM 14008,Morphosource,Extinct,Eocene,Semi-arboreal,Invertivore,,,,
Orycteropus Afer,Orycteropus_afer,Orycteropus afer,Afrotheria,Tubulidentata,Orycteropodidae,AMNH,M-51909,Digimorph,Extant,Recent,Fossorial,Social insectivore,Open,Solitary,Nocturnal,Altricial
Oryctolagus Cuniculus,Oryctolagus_cuniculus,Oryctolagus cuniculus,Euarchontaglires,Lagomorpha,Leporidae,LDUCZ,z.1703,Phenome10K,Extant,Recent,Semi-fossorial,Herbivore,Mixed terrestrial,Social,Nocturnal,Altricial
Osbornodon Fricki,Osbornodon_fricki,Osbornodon fricki,Laurasiatheria,Carnivora,Canidae,AMNH,F:AM 67098,Morphosource,Extinct,Miocene,Terrestrial,Carnivore,,,,
Otolemur Crassicaudatus,Otolemur_crassicaudatus,Otolemur crassicaudatus,Euarchontaglires,Primates,Galagidae,NHMUK ZD,1964.911,Phenome10K,Extant,Recent,Arboreal,Omnivore,Closed,Social,Nocturnal,Altricial
Otomys Angoniensi,Otomys_angoniensis,Otomys angoniensis,Euarchontaglires,Rodentia,Muridae,NHMUK ZD,1950.1478,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Solitary,Diurnal,Precocial
Paedotherium Chapadmalensis,Paedotherium_chapadmalensis,Paedotherium chapadmalensis,Laurasiatheria,Notoungulata,Hegetotheriidae,AMNH,FM 45914,Morphosource,Extinct,Mioccene,Terrestrial,Herbivore,,,,
Pakicetus Attocki,Pakicetus_attocki,Pakicetus attocki,Laurasiatheria,Cetacea,Pakicetidae,UMMP PV M,100148,,Extinct,Eocene,Aquatic,Carnivore,,,,
Palaeocastor Fossor,Palaeocastor_fossor,Palaeocastor fossor,Euarchontaglires,Rodentia,Castoridae,AMNH,F:AM 65022,Morphosource,Extinct,Oligocene,Semi-aquatic,Herbivore,,,,
Palaeoprionodon Lamandini,Palaeoprionodon_lamandini,Palaeoprionodon lamandini,Laurasiatheria,Carnivora,Feliformia,MNHN.F,QU9370,Phenome10K,Extinct,Oligocene,Terrestrial,Omnivore,,,,
Palaeopropithecus Maximus,Palaeopropithecus_maximus,Palaeopropithecus maximus,Euarchontaglires,Primates,Palaeopropithecidae,MNHN.F,MAD102,Phenome10K,Extinct,Holocene,Arboreal,Herbivore,,,,
Pan Troglodytes,Pan_troglodytes,Pan troglodytes,Euarchontaglires,Primates,Hominidae,NHMUK ZD,1939.3378,Digimorph,Extant,Recent,Semi-arboreal,Omnivore,Closed,Social,Diurnal,Altricial
Papio Papio,Papio_hamadryas,Papio hamadryas,Euarchontaglires,Primates,Cercopithecidae,USNM,378669,Smithsonian 3D,Extant,Recent,Terrestrial,Omnivore,Open,Social,Diurnal,Altricial
Paracastoroides Kansensis,Castoroides_kansensis,Castoroides ohioensis,Euarchontaglires,Rodentia,Castoridae,NHMUK PV M,7226,Phenome10K,Extinct,Pleistocene,Semi-aquatic,Herbivore,,,,
Paraceratherium Sp,Paraceratherium_sp,Paraceratherium sp,Laurasiatheria,Perissodactyla,Paraceratheriidae,NHMUK PV M,84196,Phenome10K,Extinct,Oligocene,Terrestrial,Herbivore,,,,
Paradoxurus Hermaphroditus,Paradoxurus_hermaphroditus,Paradoxurus hermaphroditus,Laurasiatheria,Carnivora,Viverridae,MNHN-ZO-AC,1990-581,Phenome10K,Extant,Recent,Semi-arboreal,Omnivore,Closed,Solitary,Nocturnal,Altricial
Parahippus Tyleri,Parahippus_tyleri,Parahippus tyleri,Laurasiatheria,Perissodactyla,Equidae,FMNH,UC1251,Morphosource,Extinct,Oligocene,Terrestrial,Herbivore,,,,
Pedetes Safer,Pedetes_capensis,Pedetes capensis,Euarchontaglires,Rodentia,Pedetidae,UM,N502,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Solitary,Nocturnal,Altricial
Petromys Typicus,Petromus_typicus,Petromus typicus,Euarchontaglires,Rodentia,Petromuridae,NHMUK ZD,1925.12.4.208,Phenome10K,Extant,Recent,Saxicolous,Herbivore,Desert,Solitary,Diurnal,Precocial
Petromyscus Shortridgei,Petromyscus_shortridgei,Petromyscus shortridgei,Euarchontaglires,Rodentia,Nesomyidae,NHMUK ZD,1928.9.11.360,Phenome10K,Extant,Recent,Saxicolous,Omnivore,Desert,Solitary,Nocturnal,Altricial
Phenacocoelus Stouti,Phenacocoelus_stouti,Phenacocoelus stouti,Laurasiatheria,Artiodactyla,Merycoidodontidae,FMNH,P12251,Morphosource,Extinct,Oligocene,Terrestrial,Herbivore,,,,
Phocoena Phocoena,Phocoena_phocoena,Phocoena phocoena,Laurasiatheria,Cetacea,Phocoenidae,AMNH,10188,Morphosource,Extant,Recent,Aquatic,Piscivore,Aquatic,Social,All,Precocial
Physeter Macrocephalus,Physeter_macrocephalus,Physeter macrocephalus,Laurasiatheria,Cetacea,Physeteridae,NHMUK ZD,2007.100.,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Social,All,Precocial
Pipistrellus Sp,Pipistrellus_hesperidus,Pipistrellus sp,Laurasiatheria,Chiroptera,Vespertillionidae,LDUCZ,z.617,Phenome10K,Extant,Recent,Volant,Invertivore,Open,Social,Nocturnal,Altricial
Platanista Gangetica,Platanista_gangetica,Platanista gangetica,Laurasiatheria,Cetacea,Platanistidae,USNM,172409,Phenome10K,Extant,Recent,Aquatic,Piscivore,Aquatic,Solitary,All,Precocial
Platygonus Compressus,Platygonus_compressus,Platygonus compressus,Laurasiatheria,Artiodactyla,Tayassuidae,AMNH,FM 45703,Morphosource,Extinct,Pliocene,Terrestrial,Herbivore,,,,
Plesictis Lemanensis,Plesictis_lemanensis,Plesictis lemanensis,Laurasiatheria,Carnivora,Mustelidae,MNHN.F,SG3217,Phenome10K,Extinct,Oligocene,Semi-arboreal,Carnivore,,,,
Pleurolestodon Aequidens,Pleurolestodon_aequidens,Pleurolestodon aequidens,Xenarthra,Pilosa,Mylodontidae,FMNH,P14495,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,
Poebrotherium Sp,Poebrotherium_sp,Poebrotherium sp,Laurasiatheria,Artiodactyla,Camelidae,USNM,630934,Phenome10K,Extinct,Eocene,Terrestrial,Herbivore,,,,
Pongo Pygmaeus,Pongo_pygmaeus,Pongo pygmaeus,Euarchontaglires,Primates,Hominidae,NHMUK ZD,1986.1101 / GERM 3.p ,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial
Pontoporia Blainvillei,Pontoporia_blainvillei,Pontoporia blainvillei,Laurasiatheria,Cetacea,Pontoporiidae,USNM,482727,Phenome10K,Extant,Recent,Aquatic,Piscivore,Aquatic,Social,Diurnal,Precocial
Potamagale Velox,Potamogale_velox,Potamogale velox,Afrotheria,Afrosoricida,Tenrecidae,NHMUK ZD,1898.10.7.6,Phenome10K,Extant,Recent,Semi-aquatic,Carnivore,Closed,Solitary,Nocturnal,Altricial
Potamotherium Valetoni,Potamotherium_valetoni,Potamotherium valetoni,Laurasiatheria,Carnivora,Mustelidae,MNHN.F,SG 692,Phenome10K,Extinct,Oligocene,Aquatic,Carnivore,Aquatic,,,
Potos Flavusply,Potos_flavus,Potos flavus,Laurasiatheria,Carnivora,Procyonidae,MNHN-ZO-AC,1995-957,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Nocturnal,Altricial
Prionodon Pardicolor,Prionodon_pardicolor,Prionodon pardicolor,Laurasiatheria,Carnivora,Viverridae,MNHN-ZO-AC,1929-424,Phenome10K,Extant,Recent,Arboreal,Carnivore,Closed,Solitary,Nocturnal,Altricial
Procavia Capensis,Procavia_capensis,Procavia capensis,Afrotheria,Hyracoidea,Procaviidae,NHMUK ZD,1903.1.2.3,Phenome10K,Extant,Recent,Saxicolous,Herbivore,Open,Social,Diurnal,Precocial
Prodeinotherium Hobleyi,Prodeinotherium_hobleyi,Prodeinotherium hobleyi,Afrotheria,Proboscidea,Deinotheriidae,NHMUK PV M,26665,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,
Proechimys Cuvieri,Proechimys_cuvieri,Proechimys cuvieri,Euarchontaglires,Rodentia,Echimyidae,NHMUK ZD,1984.1092,Phenome10K,Extant,Recent,Fossorial,Herbivore,Closed,Social,Nocturnal,Precocial
Proneotherium Repenningi,Proneotherium_repenningi,Proneotherium repenningi,Laurasiatheria,Carnivora,Odobenidae,LACM,124686,Phenome10K,Extinct,Miocene,Aquatic,Carnivore,Aquatic,,,
Propalaeohoplophorus Australis,Propalaehoplophorus_australis,Propalaeohoplophorus australis,Xenarthra,Cingulata,Glyptodontidae,MLP,16-15a,,Extinct,Miocene,Terrestrial,Omnivore,,,,
Proteles Cristatus,Proteles_cristata,Proteles cristatus,Laurasiatheria,Carnivora,Hyaenidae,J. Tseng pers. coll.,J050607T02,Phenome10K,Extant,Recent,Terrestrial,Social insectivore,Open,Solitary,Nocturnal,Altricial
Protosiren Sp,Protosiren_sp,Protosiren sp,Afrotheria,Sirenia,Protosirenidae,NHMUK PV M,60043a,Phenome10K,Extinct,Eocene,Aquatic,Herbivore,,,,
Protypotherium Attenuatum,Protypotherium_attenuatum,Protypotherium attenuatum,Laurasiatheria,Notoungulata,Interatheriidae,YPM,VPPU.015665,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,
Pseudorca Crassidens,Pseudorca_crassidens,Pseudorca crassidens,Laurasiatheria,Cetacea,Delphinidae,AMNH,99681,Morphosource,Extant,Recent,Aquatic,Piscivore,Aquatic,Social,All,Precocial
Pterodon Dasyuroides,Pterodon_dasyuroides,Pterodon dasyuroides,Laurasiatheria,Creodonta,Hyainailouridae,MNHN.F,QU8301,Phenome10K,Extinct,Eocene,Terrestrial,Carnivore,,,,
Pteronarctos Goedertae,Pteronarctos_goedertae,Pteronarctos goedertae,Laurasiatheria,Carnivora,Pinnipedimorphia,LACM,123883,Phenome10K,Extinct,Miocene,Aquatic,Carnivore,Aquatic,,,
Pteropus Sp,Pteropus_niger,Pteropus sp,Laurasiatheria,Chiroptera,Pteropodidae,LDUCZ,z.901,Phenome10K,Extant,Recent,Volant,Herbivore,Closed,Social,Nocturnal,Altricial
Ptilocercus Lowii,Ptilocercus_lowii,Ptilocercus lowii,Euarchontaglires,Scandentia,Ptilocercidae,NHMUK ZD,1961.1155,Phenome10K,Extant,Recent,Arboreal,Omnivore,Closed,Social,Nocturnal,Altricial
Puelia Coarctatus,Puelia_coarctatus,Puelia coarctatus,Laurasiatheria,Notoungulata,Notohippidae,MLP,63-II-27-27a,,Extinct,Eocene,Terrestrial,Herbivore,,,,
Puma Concolor,Puma_concolor,Puma concolor,Laurasiatheria,Carnivora,Felidae,NHMUK ZD,1865.5.18.33,Phenome10K,Extant,Recent,Terrestrial,Carnivore,Closed,Solitary,Nocturnal,Altricial
Ratufa Affinis,Ratufa_affinis,Ratufa affinis,Euarchontaglires,Rodentia,Sciuridae,NHMUK ZD,1955.1724,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Diurnal,Precocial
Reithrodontomys Megalotis,Reithrodontomys_megalotis,Reithrodontomys megalotis,Euarchontaglires,Rodentia,Cricetidae,UMN,5017,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Solitary,Nocturnal,Altricial
Rhinolophus Acuminatus,Rhinolophus_acuminatus,Rhinolophus acuminatus,Laurasiatheria,Chiroptera,Rhinolophidae,AMNH,M-27381,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Rhinonycteris Aurantia,Rhinonicteris_aurantia,Rhinonicteris aurantia,Laurasiatheria,Chiroptera,Hipposideridae,AMNH,M-197216,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Rhinopoma Hardwickeii,Rhinopoma_hardwickii,Rhinopoma hardwickii,Laurasiatheria,Chiroptera,Rhinopomatidae,AMNH,M-21793,Morphosource,Extant,Recent,Volant,Invertivore,Desert,Social,Nocturnal,Altricial
Rhizomys Sumatrensis,Rhizomys_sinensis,Rhizomys sumatrensis,Euarchontaglires,Rodentia,Spalacidae,NHMUK ZD,1973.178,Phenome10K,Extant,Recent,Fossorial,Herbivore,Mixed terrestrial,Solitary,Nocturnal,Altricial
Rhynchocyon Sp,Rhynchocyon_petersi,Rhynchocyon petersi,Afrotheria,Macroscelidea,Macroscelididae,LDUCZ,z.609,Phenome10K,Extant,Recent,Terrestrial,Invertivore,Closed,Solitary,Nocturnal,Precocial
Saccolaimus Flaviventris,Saccolaimus_saccolaimus,Saccolaimus flaviventris,Laurasiatheria,Chiroptera,Emballonuridae,AMNH,M-107759,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Saiga Tatarica,Saiga_tatarica,Saiga tatarica,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1961.5.30.1,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial
Saimiri Sciureus,Saimiri_sciureus,Saimiri sciureus,Euarchontaglires,Primates,Cebidae,NHMUK ZD,1927.11.1.18,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial
Scalopus Aquaticus,Scalopus_aquaticus,Scalopus aquaticus,Laurasiatheria,Eulipotyphla,Talpidae,NHMUK ZD,1907.7.7.1240,Phenome10K,Extant,Recent,Fossorial,Invertivore,Closed,Solitary,Nocturnal,Altricial
