Mesh Names,Tip_Label,Taxon,Superorder,Order,Family,Collection,Specimen_ID,Scan Location,Status,Geologic Age (First Appearance),Locomotion,Diet,Habitat,Social,Activity,Development,Mesh Type
Diplacodon Progressum,Diplacodon_progressum,Diplacodon progressum,Laurasiatheria,Perissodactyla,Brontotheriidae,FMNH,P14633,Morphosource,Extinct,Eocene,Terrestrial,Herbivore,,,,,Closed 
Dipodomys Ordii,Dipodomys_ordii,Dipodomys ordii,Euarchontaglires,Rodentia,Heteromyidae,UMN,8327,Phenome10K,Extant,Recent,Semi-fossorial,Herbivore,Open,Solitary,Nocturnal,Altricial,Open 
Dobsonia Moluccensis,Dobsonia_moluccensis,Dobsonia moluccensis,Laurasiatheria,Chiroptera,Pteropodidae,AMNH,M-159572,Morphosource,Extant,Recent,Volant,Herbivore,Closed,Social,Nocturnal,Altricial,Open 
Dolichotis Patagonum,Dolichotis_patagonum,Dolichotis patagonum,Euarchontaglires,Rodentia,Caviidae,NHMUK ZD,2003.339,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Desert,Social,Diurnal,Precocial,Open 
Dorudon Atrox,Dorudon_atrox,Dorudon atrox,Laurasiatheria,Cetacea,Basilosauridae,UMMP PVM,118139,Phenome10K,Extinct,Eocene,Aquatic,Carnivore,,,,,Closed 
Duchesneodus Uintensis,Duchesneodus_uintensis,Duchesneodus uintensis,Laurasiatheria,Perissodactyla,Brontotheriidae,FMNH,PM136,Morphosource,Extinct,Eocene,Terrestrial,Herbivore,,,,,Closed 
Dugong Sp,Dugong_dugon,Dugong dugon,Afrotheria,Sirenia,Dugongidae,LDUCZ,NON434,Phenome10K,Extant,Recent,Aquatic,Herbivore,Aquatic,Social,Diurnal,Precocial,Closed 
Dusisiren Jordani,Dusisiren_jordani,Dusisiren jordani,Afrotheria,Sirenia,Dugongidae,UCMP,3794,Morphosource and Phenome10K,Extinct,Miocene,Aquatic,Herbivore,,,,,Closed 
Echinoprocta Rufescens,Coendou_rufescens,Coendou rufescens,Euarchontaglires,Rodentia,Erethizontidae,NHMUK ZD,1927.5.3.8,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Nocturnal,Precocial,Open 
Echinosorex Gymnura,Echinosorex_gymnura,Echinosorex gymnura,Laurasiatheria,Eulipotyphla,Erinaceidae,NHMUK ZD,1961.1157,Phenome10K,Extant,Recent,Terrestrial,Omnivore,Closed,Solitary,Nocturnal,Altricial,Closed 
Elasmotherium Sp,Elasmotherium_sp,Elasmotherium sp,Laurasiatheria,Perissodactyla,Rhinocerotidae,NHMUK PV M,12429,Phenome10K,Extinct,Pliocene,Terrestrial,Herbivore,,,,,Open 
Elephas Maximus,Elephas_maximus,Elephas maximus,Afrotheria,Proboscidea,Elephantidae,TMM,M-6445,Digimorph,Extant,Recent,Terrestrial,Herbivore,Mixed terrestrial,Social,All,Precocial,Open 
Eleutherocercus Tucumanus,Eleutherocercus_tucumanus,Eleutherocercus tucumanus,Xenarthra,Cingulata,Glyptodontidae,FMNH,P14437,Morphosource,Extinct,Miocene,Terrestrial,Omnivore,,,,,Closed 
