Mesh Names,Tip_Label,Taxon,Superorder,Order,Family,Collection,Specimen_ID,Scan Location,Status,Geologic Age (First Appearance),Locomotion,Diet,Habitat,Social,Activity,Development,Mesh Type
Elotherium Sp,Elotherium_sp,Entelodon sp,Laurasiatheria,Artiodactyla,Entelodontidae,AMNH,FM 571,Morphosource,Extinct,Oligocene,Terrestrial,Herbivore,,,,,Closed 
Entoptychus Sp,Entoptychus_sp,Entoptychus wheelerensis,Euarchontaglires,Rodentia,Geomyidae,UCMP,151251,Morphosource and Phenome10K,Extinct,Oligocene,Fossorial,Herbivore,,,,,Closed 
Epimanteoceras Formosus,Epimanteoceras_formusus,Epimanteoceras formosus,Laurasiatheria,Perissodactyla,Brontotheriidae,AMNH,FM 21613,Morphosource,Extinct,Eocene,Terrestrial,Herbivore,,,,,Closed 
Eporeodon Meagherensis,Eporeodon_meagherensis,Eporeodon meagherensis,Laurasiatheria,Artiodactyla,Merycoidodontidae,YPM,VP.013948,Phenome10K,Extinct,Oligocene,Terrestrial,Herbivore,,,,,Closed 
Equus Caballus,Equus_caballus,Equus caballus,Laurasiatheria,Perissodactyla,Equidae,LDUCZ,z.3062,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Crepuscular,Precocial,Closed 
Erethizon Dorsatum,Erethizon_dorsatum,Erethizon dorsatum,Euarchontaglires,Rodentia,Erethizontidae,NHMUK ZD,1936.11.6.21,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Nocturnal,Precocial,Open 
Erinaceus Europaens,Erinaceus_europaeus,Erinaceus europaeus,Laurasiatheria,Eulipotyphla,Erinaceidae,LDUCZ,z.3067,Phenome10K,Extant,Recent,Semi-fossorial,Invertivore,Open,Solitary,Nocturnal,Precocial,Closed 
Eschrichtius Robustus,Eschrichtius_robustus,Eschrichtius robustus,Laurasiatheria,Cetacea,Eschrichtiidae,USNM,13803,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Social,All,Precocial,Open 
Eubalaena Australis,Eubalaena_australis,Eubalaena australis,Laurasiatheria,Cetacea,Balaenidae,NHMUK ZD,1873.3.3.1,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Social,All,Precocial,Open 
Euhapsis Ellicottae,Euhapsis_ellicottae,Euhapsis ellicottae,Euarchontaglires,Rodentia,Castoridae,KU,48015,,Extinct,Oligocene,Fossorial,Herbivore,,,,,Closed 
Eulemur Macaco,Eulemur_macaco,Eulemur macaco,Euarchontaglires,Primates,Lemuridae,USNM,255517,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,All,Altricial,Open 
Eusmilus Dakotensis,Eusmilus_dakotensis,Eusmilus dakotensis,Laurasiatheria,Carnivora,Nimravidae,USNM,18214,Phenome10K,Extinct,Oligocene,Terrestrial,Carnivore,,,,,Closed 
Fossa Fossana,Fossa_fossana,Fossa fossana,Laurasiatheria,Carnivora,Eupleridae,NHMUK ZD,1872.8.19.5/GERM 1582b,Phenome10K,Extant,Recent,Terrestrial,Carnivore,Closed,Solitary,Nocturnal,Altricial,Closed 
Furipterus Horrens,Furipterus_horrens,Furipterus horrens,Laurasiatheria,Chiroptera,Furipteridae,AMNH,M-78541,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial,Open 
Galidia Elegans,Galidia_elegans,Galidia elegans,Laurasiatheria,Carnivora,Eupleridae,NHMUK ZD,2005.2,Phenome10K,Extant,Recent,Terrestrial,Carnivore,Closed,Solitary,Diurnal,Altricial,Closed 
Giraffa Camelopardalis,Giraffa_camelopardalis,Giraffa camelopardalis,Laurasiatheria,Artiodactyla,Giraffidae,TMM,M6815,Digimorph,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial,Open 
Glaucomys Sabrinus,Glaucomys_sabrinus,Glaucomys sabrinus,Euarchontaglires,Rodentia,Sciuridae,UMN,5952,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Nocturnal,Altricial,Open 
Glossotherium Robustum,Glossotherium_robustum,Glossotherium robustum,Xenarthra,Pilosa,Mylodontidae,AMNH,FM 11270,Morphosource,Extinct,Pleistocene,Terrestrial,Herbivore,,,,,Closed 
Glyptodon Typus,Glyptodon_typus,Glyptodon typus,Xenarthra,Cingulata,Glyptodontidae,MNHN.F,R85A,Phenome10K,Extinct,Pliocene,Terrestrial,Omnivore,,,,,Closed 
Gorilla Gorilla,Gorilla_gorilla,Gorilla gorilla,Euarchontaglires,Primates,Hominidae,USNM,176216,Smithsonian 3D,Extant,Recent,Semi-arboreal,Herbivore,Closed,Social,Diurnal,Altricial,Open 
Graphiurus Hueti,Graphiurus_murinus,Graphiurus hueti,Euarchontaglires,Rodentia,Gliridae,NHMUK ZD,1967.1464,Phenome10K,Extant,Recent,Arboreal,Omnivore,Mixed terrestrial,Social,Nocturnal,Altricial,Closed 
Hapalops Elongatus,Hapalops_elongatus,Hapalops elongatus,Xenarthra,Pilosa,Megatheriidae,YPM,VPPU.015597,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,,Closed 
Harpagolestes Macrocephalus,Harpagolestes_macrocephalus,Harpagolestes macrocephalus,Laurasiatheria,Acreodi,Mesonychidae,YPM,VP.011901,Phenome10K,Extinct,Eocene,Terrestrial,Carnivore,,,,,Closed 
Helarctos Malayanus,Helarctos_malayanus,Helarctos malayanus,Laurasiatheria,Carnivora,Ursidae,MNHN-ZO-AC,1914-360,Phenome10K,Extant,Recent,Terrestrial,Omnivore,Closed,Solitary,Nocturnal,Altricial,Open 
Hemigalus Derbyanus,Hemigalus_derbyanus,Hemigalus derbyanus,Laurasiatheria,Carnivora,Viverridae,NHMUK ZD,1895.7.30.6,Phenome10K,Extant,Recent,Arboreal,Carnivore,Closed,Solitary,Nocturnal,Altricial,Closed 
Herpestes Javanicus,Herpestes_javanicus,Herpestes edwardsii,Laurasiatheria,Carnivora,Herpestidae,MNHN-ZO-AC,A3444,Phenome10K,Extant,Recent,Terrestrial,Carnivore,Open,Solitary,Diurnal,Altricial,Open 
Hesperogaulus Wilsoni,Hesperogaulus_wilsoni,Hesperogaulus wilsoni,Euarchontaglires,Rodentia,Mylagaulidae,LACM,142506,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,,Closed 
